label	label_norm	module	kind	address	status	src_first5	rom_first5
LAST_ZF	LAST_ZF@MOTION	MOTION	data	0x0099EBE4	OK		
LAST_XL	LAST_XL@MOTION	MOTION	data	0x0099EBE5	OK		
LAST_YR	LAST_YR@MOTION	MOTION	data	0x0099EBE6	OK		
SND2	SND2		data	0x009A0000	OK		
CMOS	CMOS		data	0x009C0000	OK		
WAVERAM	WAVERAM		data	0x00A00000	OK		
GET_COIN1	GET_COIN1@COIN	COIN	code	0x00C1000F	OK		
GET_COIN2	GET_COIN2@COIN	COIN	code	0x00C1001B	OK		
GET_COIN3	GET_COIN3@COIN	COIN	code	0x00C10028	OK		
GET_COIN4	GET_COIN4@COIN	COIN	code	0x00C10035	OK		
GET_UNITS_PER_CREDIT	GET_UNITS_PER_CREDIT@COIN	COIN	code	0x00C10042	OK		
GET_UNITS_FOR_BONUS	GET_UNITS_FOR_BONUS@COIN	COIN	code	0x00C1004E	OK		
GET_MIN_UNITS	GET_MIN_UNITS@COIN	COIN	code	0x00C1005B	OK		
GET_CREDITS_TO_START	GET_CREDITS_TO_START@COIN	COIN	code	0x00C10068	OK		
GET_CREDITS_TO_CONTINUE	GET_CREDITS_TO_CONTINUE@COIN	COIN	code	0x00C10075	OK		
GET_SHOW_PARTIAL	GET_SHOW_PARTIAL@COIN	COIN	code	0x00C10081	OK		
GET_COIN1_COUNTER	GET_COIN1_COUNTER@COIN	COIN	code	0x00C1008E	OK		
GET_COIN2_COUNTER	GET_COIN2_COUNTER@COIN	COIN	code	0x00C10096	OK		
GET_COIN3_COUNTER	GET_COIN3_COUNTER@COIN	COIN	code	0x00C1009F	OK		
GET_COIN4_COUNTER	GET_COIN4_COUNTER@COIN	COIN	code	0x00C100A8	OK		
startup0	startup0@CUSA	CUSA	data	0x00C10253	OK		
startup1	startup1@CUSA	CUSA	data	0x00C1025E	OK		
startup2	startup2@CUSA	CUSA	data	0x00C1026B	OK		
startup3	startup3@CUSA	CUSA	data	0x00C10279	OK		
dlts	dlts@CUSA	CUSA	data	0x00C10282	OK		
VERSION_STAMP	VERSION_STAMP		data	0x00C10288	OK		
INTERNAL_VERS	INTERNAL_VERS@CUSA	CUSA	data	0x00C1028C	OK		
M1	M1@CUSA	CUSA	data	0x00C1028E	OK		
M2	M2@CUSA	CUSA	data	0x00C10293	OK		
M3	M3@CUSA	CUSA	data	0x00C1029E	OK		
M4	M4@CUSA	CUSA	data	0x00C102A9	OK		
M5	M5@CUSA	CUSA	data	0x00C102B4	OK		
M6	M6@CUSA	CUSA	data	0x00C102BA	OK		
M7	M7@CUSA	CUSA	data	0x00C102C5	OK		
M8	M8@CUSA	CUSA	data	0x00C102CC	OK		
M9	M9@CUSA	CUSA	data	0x00C102D3	OK		
WINT1	WINT1@BONUS	BONUS	data	0x00C10659	OK		
WINT2	WINT2@BONUS	BONUS	data	0x00C1065D	OK		
EXPIRED	EXPIRED@BONUS	BONUS	data	0x00C10660	OK		
