address	comment
0x0000083F	READADJ
0x00000847	READADJ
0x00000848	READADJ
0x00000850	READADJ
0x00000851	READADJ
0x00000859	READADJ
0x0000085A	READADJ
0x00000862	READADJ
0x00000863	READADJ
0x0000088A	RS
0x00000890	CLRI
0x00000892	CLRI
0x0000089B	FILL
0x0000089C	FILL
0x0000089D	FILL
0x0000089E	FILL
0x0000089F	FILL
0x000008A0	FILL
0x000008A1	FILL
0x000008A2	FILL
0x000008A3	FILL
0x000008A4	FILL
0x000008A5	FILL
0x000008A6	FILL
0x000008C0	TEXTITT
0x000008C1	TEXTITT
0x000008C2	TEXTITT
0x000008C3	TEXTITT
0x000008C4	TEXTITT
0x000008C5	TEXTITT
0x000008C6	TEXTITT
0x000008C7	TEXTITT
0x000008C8	TEXTITT
0x000008C9	TEXTITT
0x000008CA	TEXTITT
0x000008CB	TEXTITT
0x000008CC	TEXTITT
0x000008CD	TEXTITT
0x000008CE	TEXTITT
0x000008CF	TEXTITT
0x000008D2	FILL
0x000008D3	FILL
0x000008D4	FILL
0x000008D5	FILL
0x000008D6	FILL
0x000008D7	FILL
0x000008DD	FILL
0x000008DE	FILL
0x000008DF	FILL
0x000008E0	FILL
0x000008E1	FILL
0x000008E2	FILL
0x000008E6	FILL
0x000008E7	FILL
0x000008E8	FILL
0x000008E9	FILL
0x000008EA	FILL
0x000008EB	FILL
0x000008EF	FILL
0x000008F0	FILL
0x000008F1	FILL
0x000008F2	FILL
0x000008F3	FILL
0x000008F4	FILL
0x000008F8	FILL
0x000008F9	FILL
0x000008FA	FILL
0x000008FB	FILL
0x000008FC	FILL
0x000008FD	FILL
0x00000903	FILL
0x00000904	FILL
0x00000905	FILL
0x00000906	FILL
0x00000907	FILL
0x00000908	FILL
0x00000914	FILL
0x00000915	FILL
0x00000916	FILL
0x00000917	FILL
0x00000918	FILL
0x00000919	FILL
0x00000925	FILL
0x00000926	FILL
0x00000927	FILL
0x00000928	FILL
0x00000929	FILL
0x0000092A	FILL
0x0000092B	LDPI
0x0000092C	LDPI
0x00000935	TEXTITT
0x00000936	TEXTITT
0x00000937	TEXTITT
0x00000938	TEXTITT
0x0000094E	LDL
0x00000955	LS
0x00000956	INC
0x0000095F	TEXTITT
0x00000960	TEXTITT
0x00000961	TEXTITT
0x00000962	TEXTITT
0x00000963	GROUP
0x00000964	GROUP
0x00000965	GROUP
0x00000966	GROUP
0x00000967	GROUP
0x00000968	GROUP
0x00000969	GROUP
0x0000096A	GROUP
0x0000096B	GROUP
0x0000096C	GROUP
0x0000096D	GROUP
0x0000096E	GROUP
0x0000096F	GROUP
0x00000970	GROUP
