timestamp_utc	rom_path	labels_tsv	apply_py	rows_total	rows_code	rows_data	anchors	unresolved	dp0_marks	labels_emitted	promoted_aliases	seed_map	seed_entries	ida_lookup_map	ida_lookup_entries	address_map_entries
2026-06-11T06:19:02.379364+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T06:21:27.010197+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T06:25:21.358400+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T06:30:52.642697+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T06:31:18.361073+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T08:23:57.442891+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T09:04:04.168438+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T09:05:19.214117+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T09:11:09.478803+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T17:44:17.593900+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6350	1575	2746	776	0	484	6350	1152	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6350
2026-06-11T17:47:54.905210+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T17:50:53.201196+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T17:52:04.682602+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
